sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
APO180324001 ,VINTAGE Mens Pullover Tracksuit Top Jacket Large Multicoloured Fair Isle ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Activewear Jackets,185702,,,,,1,L,Large,L,,,39.95,NO,,Pullover,Tracksuit Top Jacket,,Adjustable,Comfort,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-20-03-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-20-03-0001_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-20-03-0001_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-20-24-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-20-24-0002_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-20-24-0002_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-20-36-0003.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-20-54-0004.jpeg,,,,,,,,Multicoloured,,Fair Isle,Polyester,Pullover Tracksuit Top Jacket,Pullover,Regular,,Microfibre,High Neck,Long Sleeve,24,19,,,29,,,,,,,,,,,2024-03-18T08:22:27.7142291
APO180324002 ,VINTAGE Mens Fleece Gilet UK 40 Large Multicoloured Floral Polyester ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Coats & Jackets,57988,,,,,1,L,Large,L,,,29.95,NO,,,Fleece Gilet,,Full Zip,Bodywarmer,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-23-16-0006.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-23-16-0006_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-23-16-0006_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-23-27-0007.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-23-27-0007_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-23-27-0007_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-23-35-0008.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-23-44-0009.jpeg,,,,,,,,Multicoloured,,Floral,Polyester,Fleece Gilet,Zip,Regular,,Fleece,High Neck,Sleeveless,23,,,,28,,,,,,,,,,,2024-03-18T08:27:17.6940549
APO180324003 ,ASICS Mens Graphic T-Shirt Top Large Orange Colourblock Polyester ,Asics,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,L,Large,L,,,19.95,NO,,,Graphic T-Shirt Top,,Collarless,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-29-12-0011.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-29-12-0011_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-29-12-0011_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-29-37-0012.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-29-37-0012_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-29-37-0012_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-29-57-0013.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-30-16-0014.jpeg,,,Logo,,,,,Orange,,Colourblock,Polyester,Graphic T-Shirt Top,Pullover,Regular,,Microfibre,Round Neck,Short Sleeve,23,,,,30,,,,,,,,,,,2024-03-18T08:31:46.4039794
APO180324004 ,PUMA Mens Tracksuit Top Jacket Large Black Colourblock Polyester ,Puma,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Activewear Jackets,185702,,,,,1,L,Large,L,,,29.95,NO,,,Tracksuit Top Jacket,,Full Zip,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-32-42-0016.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-32-42-0016_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-32-42-0016_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-33-07-0017.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-33-07-0017_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-33-07-0017_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-33-19-0018.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-33-35-0019.jpeg,,,Logo,,,,,Black,,Colourblock,Polyester,Tracksuit Top Jacket,Zip,Regular,,Microfibre,High Neck,Long Sleeve,23,21,,,26,,,,,,,,,,,2024-03-18T08:38:36.3040728
APO180324005 ,CHAMPION Mens T-Shirt Top Large Multicoloured Colourblock Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,L,Large,L ,,,19.95,NO,,,T-Shirt Top,,Collarless,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-39-31-0021.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-40-01-0022.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-40-26-0023.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-40-50-0024.jpeg,,,,,,,Logo,,,,,Multicoloured,,Colourblock,Cotton,T-Shirt Top,Pullover,Regular,,Jersey,Round Neck,Short Sleeve,23,,,,29,,,,,,,,,,,2024-03-18T08:41:35.4951806
APO180324006 ,CHAMPION Womens T-Shirt Top UK 10 Small Pink Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,T-Shirts,53159,,,,,1,S,Small,s,,Bleach  marks on the back.,19.95,NO,,,T-Shirt Top,,Collarless,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-42-06-0026.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-42-28-0027.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-42-55-0028.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-43-18-0029.jpeg,,,,,,,Logo,,,,,Pink,,,Cotton,T-Shirt Top,Pullover,Regular,,Jersey,Round Neck,Short Sleeve,17,,,,22,,,,,,,,,,,2024-03-18T08:43:59.1652043
APO180324007 ,CHAMPION Mens Harvard Graphic Sweatshirt Jumper Large Grey Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,L,Large,L,,,32.95,NO,,Graphic,Sweatshirt Jumper,,Collarless,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-50-21-0031.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-50-52-0032.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-51-05-0033.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-51-14-0034.jpeg,,,,,,,Logo,,,,,Grey,Harvard,,Cotton,Graphic Sweatshirt Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,23,23,,,27,,,,,,,,,,,2024-03-18T08:52:31.7744806
APO180324008 ,ASICS Mens Zip Neck Top Long Sleeve Medium Grey Flecked Cotton ,Asics,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,M,Medium,m,,Mark on the left cuff.,22.95,NO,Graphic,Zip Neck,Top Long Sleeve,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-54-19-0036.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-56-08-0037.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-56-30-0038.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-08-58-57-0039.jpeg,,,,,,,Logo,,,,,Grey,,Flecked,Cotton,Graphic Zip Neck Top Long Sleeve,Pullover,Regular,Polyester,Jersey,High Neck,Long Sleeve,22,18,,,25,,,,,,,,,,,2024-03-18T09:01:11.5705288
APO180324009 ,FILA Mens Graphic T-Shirt Top Large Multicoloured Colourblock Cotton ,Fila,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,L,Large,L,,,19.95,NO,,,Graphic T-Shirt Top,,Collarless,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-02-05-0041.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-02-17-0042.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-03-17-0043.jpeg,,,,,,,,Logo,,,,,Multicoloured,,Colourblock,Cotton,Graphic T-Shirt Top,Pullover,Regular,,Jersey,Round Neck,Short Sleeve,23,,,,28,,,,,,,,,,,2024-03-18T09:04:13.0734922
APO180324010 ,SERGIO TACCHINI Mens Tracksuit Top Jacket Size 42 Large Navy Blue ,Sergio Tacchini,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Activewear Jackets,185702,,,,,1,L,Large,us 42 ,,,29.95,NO,,,Tracksuit Top Jacket,,Lined,Comfort,Full Zip,Zipped Pockets,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-06-24-0045.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-06-41-0046.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-06-59-0047.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-07-14-0048.jpeg,,,,,,,Logo,,,,,Navy Blue,,Colourblock,Nylon,Tracksuit Top Jacket,Zip,Relaxed,,Microfibre,High Neck,Long Sleeve,26,19,,,28,,,,,,,,,,,2024-03-18T09:08:48.2884834
FO180324001 ,CHAMPION Mens Graphic Hoodie Jumper Medium Red Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,M,Medium,m,,Missing hood string.,32.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-11-00-0050.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-12-05-0051.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-14-32-0052.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-14-57-0053.jpeg,,,,,,,Logo,,,,,Red,,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,23,21,,,27,,,,,,,,,,,2024-03-18T09:16:00.6694999
FO180324002 ,CHAMPION Mens Hoodie Jumper Medium Green Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,M,Medium,m,,,29.95,NO,,,Hoodie Jumper,,Pockets,Hooded,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-17-44-0055.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-18-01-0056.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-18-23-0057.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_18-03-2024/Studio 16 18-03-2024-09-19-54-0058.jpeg,,,,,,,Logo,,,,,Green,,,Cotton,Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,22,20,,,26,,,,,,,,,,,2024-03-18T09:20:50.0180679
