sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,tags,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
ACE080324018 ,TOMMY HILFIGER Mens Tapered Chino Trousers W28 L31 Beige Cotton ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,28,Size 28,N/A,JZ,,Small mark on lower back of right leg. ,19.51,NO,,Tapered,Chino Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-24-39-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-24-39-0002_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-24-39-0002_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-25-15-0003.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-25-15-0003_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-25-15-0003_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-25-43-0004.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-26-18-0005.jpeg,,,Logo,,,,,Beige,,,Cotton,Tapered Chino Trousers,Zip,Slim,,Woven,,,,,,,,,,,31,10,,,,28,,2024-03-11T08:27:33.4865017
ACE080324019 ,TOMMY HILFIGER Mens Slim Jeans W36 L30 Black Cotton ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jeans,11483,,,,,1,36,Size 36," - Recommended sizing differs from the label size. , 36/34",JZ - black ,,Faded colour and reworked length. ,18.95,YES,,,Slim Jeans,,Stretch,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-29-42-0007.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-29-42-0007_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-29-42-0007_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-30-14-0008.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-30-14-0008_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-30-14-0008_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-30-38-0009.jpeg,,,,Logo,,,,,Black,,,Cotton,Slim Jeans,Zip,Slim,Elastane,Denim,,,,,,,,,,,30,8,,,,36,,2024-03-11T08:31:56.753469
ACE080324020 ,POLO RALPH LAUREN Mens Slim Casual Trousers W35 L33 Brown Cotton ,Polo Ralph Lauren,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,35,Size 35,35,JZ,,Pull on material on lower front left leg,23.93,NO,,Slim,Casual Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-33-24-0011.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-33-24-0011_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-33-24-0011_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-33-54-0012.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-33-54-0012_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-33-54-0012_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-36-55-0013.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-37-08-0014.jpeg,,,Logo,,,,,Brown,,,Cotton,Slim Casual Trousers,Zip,Slim,,Woven,,,,,,,,,,,33,8,,,,35,,2024-03-11T08:37:49.2913752
ACE080324021 ,"LEVI'S Mens 511 Slim Jeans W34 L32 Beige Cotton ","Levi's",Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jeans,11483,,,,,1,34,Size 34,W34 L32,JZ,,,24.51,NO,,,Slim Jeans,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-39-08-0016.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-39-08-0016_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-39-08-0016_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-39-41-0017.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-39-41-0017_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-39-41-0017_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-40-05-0018.jpeg,,,,Logo,,,,,Beige,511,,Cotton,Slim Jeans,Zip,Slim,,Denim,,,,,,,,,,,32,9,,,,34,,2024-03-11T08:40:54.0806845
ACE080324022 ,NAUTICA Mens Straight Chino Trousers W33 L30 Beige Cotton ,Nautica,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,33,Size 33,W33 L30,JZ,,Mark on back right leg ,18.95,NO,,Straight,Chino Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-42-08-0020.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-42-08-0020_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-42-08-0020_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-42-32-0021.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-42-32-0021_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-42-32-0021_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-43-00-0022.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-43-33-0023.jpeg,,,Logo,,,,,Beige,,,Cotton,Straight Chino Trousers,Zip,Regular,,Woven,,,,,,,,,,,30,10,,,,33,,2024-03-11T08:44:38.1262485
ACE080324023 ,TOMMY HILFIGER Mens Tailored Fit Slim Chino Trousers W38 L34 Beige Cotton ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,38,Size 38,38/34,JZ,,,19.95,NO,,Slim,Chino Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-45-52-0025.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-45-52-0025_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-45-52-0025_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-46-17-0026.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-46-17-0026_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-46-17-0026_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-46-48-0027.jpeg,,,,Logo,,,,,Beige,Tailored Fit,,Cotton,Slim Chino Trousers,Zip,Slim,,Woven,,,,,,,,,,,34,9,,,,38,,2024-03-11T08:47:28.8916671
ACE080324024 ,TOMMY HILFIGER Mens Slim Chino Trousers W32 L32 Red Cotton ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,32,Size 32,32/32,JZ,,Mark on lower back of right leg. ,18.95,NO,,Slim,Chino Trousers,,Stretch,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-48-42-0029.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-48-42-0029_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-48-42-0029_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-49-04-0030.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-49-04-0030_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-49-04-0030_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-49-41-0031.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-49-59-0032.jpeg,,,Logo,,,,,Red,,,Cotton,Slim Chino Trousers,Zip,Slim,Elastane,Woven,,,,,,,,,,,32,8,,,,32,,2024-03-11T08:51:00.9613253
ACE080324025 ,WRANGLER Mens Texas Stretch Straight Jeans W33 L30 Black Cotton ,Wrangler,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jeans,11483,,,,,1,33,Size 33," - Recommended sizing differs from the label size. , W33 L 34","JZ , Black",,Faded colour and reworked length. ,16.95,YES,,,Straight Jeans,,Stretch,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-51-58-0034.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-51-58-0034_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-51-58-0034_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-52-26-0035.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-52-26-0035_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-52-26-0035_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-52-55-0036.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-53-10-0037.jpeg,,,Logo,,,,,Black,Texas Stretch,,Cotton,Straight Jeans,Zip,Regular,Elastane,Denim,,,,,,,,,,,30,9,,,,33,,2024-03-11T08:54:20.0752277
ACE080324026 ,WRANGLER Mens Texas Stretch Straight Jeans W36 L30 Grey Cotton ,Wrangler,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jeans,11483,,,,,1,36,Size 36,W36 L30,Grey  JZ,,Faded colour. ,17.43,NO,,,Straight Jeans,,Stretch,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-55-44-0039.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-55-44-0039_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-55-44-0039_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-56-20-0040.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-56-20-0040_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-56-20-0040_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-57-04-0041.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-08-57-27-0042.jpeg,,,Logo,,,,,Grey,Texas Stretch,,Cotton,Straight Jeans,Zip,Regular,Elastane,Denim,,,,,,,,,,,30,9,,,,36,,2024-03-11T08:58:50.4803075
ACE080324027 ,WRANGLER Mens Straight Jeans W38 L28 Grey Cotton ,Wrangler,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jeans,11483,,,,,1,38,Size 38,38/28,JZ  - GREY,,Faded colour. ,16.95,NO,,,Straight Jeans,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-09-00-24-0044.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-09-00-24-0044_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-09-00-24-0044_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-09-00-46-0045.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-09-00-46-0045_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-09-00-46-0045_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 13_11-03-2024/Studio/11-03-2024-09-01-42-0046.jpeg,,,,Logo,,,,,Grey,,,Cotton,Straight Jeans,Zip,Slim,,Denim,,,,,,,,,,,28,9,,,,38,,2024-03-11T09:03:22.1340816
