sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,tags,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
BAF110324001 ,NIKE Mens Graphic T-Shirt Top Medium Black Cotton ,Nike,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,M,Medium,m,black,,Faded colour,13.95,NO,,,Graphic T-Shirt Top,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-06-18-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-06-46-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-06-58-0003.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Graphic T-Shirt Top,Pullover,Slim,,Jersey,Round Neck,Short Sleeve,20,,,,25,,,,,,,,,,,2024-03-11T08:07:56.9010668
BAF110324002 ,NIKE Mens Graphic T-Shirt Top Large Black Cotton ,Nike,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,L,Large,L,black,,Faded colour.,14.95,NO,,,Graphic T-Shirt Top,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-08-56-0005.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-09-08-0006.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-09-20-0007.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Graphic T-Shirt Top,Pullover,Regular,,Jersey,Round Neck,Short Sleeve,23,,,,24,,,,,,,,,,,2024-03-11T08:11:11.0429958
BAF110324003 ,EMPORIO ARMANI Mens Graphic T-Shirt Top Medium Black Cotton ,Emporio Armani,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,M,Medium,m,black,,Faded colour.,23.95,NO,,,Graphic T-Shirt Top,,Stretch,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-12-03-0009.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-12-28-0010.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-12-58-0011.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-13-14-0012.jpeg,,,,,,,Logo,,,,,Black,,,Cotton,Graphic T-Shirt Top,Pullover,Regular,Elastane,Jersey,Round Neck,Short Sleeve,20,,,,24,,,,,,,,,,,2024-03-11T08:13:41.9762993
BAF110324004 ,NIKE Mens Abstract Pattern Zip Hoodie Sweater Small Grey Cotton ,Nike,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,S,Small,L,grey,,Marks on the sleeves.,22.95,NO,,Abstract Pattern,Zip Hoodie Sweater,,Hooded,Full Zip,Pockets,Comfort,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-14-32-0014.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-15-05-0015.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-15-28-0016.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-15-43-0017.jpeg,,,,,,,Logo,,,,,Grey,,,Cotton,Abstract Pattern Zip Hoodie Sweater,Zip,Regular,Polyester,Jersey,High Neck,Long Sleeve,20,20,,,28,,,,,,,,,,,2024-03-11T08:17:04.5865562
BAF110324005 ,NIKE Boys Graphic Vest Top 12-13 Years Large Grey Cotton ,Nike,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Boys,Clothing,"T-Shirts, Tops & Shirts",260966,,,,,1,12-13 Years,12-13 Years,12-13,grey,,,12.95,NO,,,Graphic Vest Top,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-19-10-0019.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-19-45-0020.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-19-56-0021.jpeg,,,,,,,,Logo,,,,,Grey,,,Cotton,Graphic Vest Top,Pullover,Regular,,Jersey,Round Neck,Sleeveless,16,,,,24,,,,,,,,,,,2024-03-11T08:20:28.3428838
BAF110324006 ,EMPORIO ARMANI Mens Graphic Sweatshirt Jumper Small Black Cotton ,Emporio Armani,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,S,Small,s,black,,"Marks on the front, in the middle and on the sleeve.",37.95,NO,,Graphic,Sweatshirt Jumper,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-21-41-0023.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-22-00-0024.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-22-32-0025.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-22-39-0026.jpeg,,,,,,,Logo,,,,,Black,,,Cotton,Graphic Sweatshirt Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,20,20,,,26,,,,,,,,,,,2024-03-11T08:23:08.9936826
BAF110324007 ,CONVERSE Mens Graphic Hoodie Jumper XS Navy Blue Cotton ,Converse,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,XS,XS,xs,navy,,Faded colour.,22.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-23-56-0028.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-25-09-0029.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-25-24-0030.jpeg,,,,,,,,Logo,,,,,Navy Blue,,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,,Jersey,Round Neck,Long Sleeve,19,18,,,24,,,,,,,,,,,2024-03-11T08:26:26.0597559
BAF110324008 ,NIKE Mens Graphic Hoodie Jumper Medium Green Cotton ,Nike,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,M,Medium,m,green,,"Faded colour, bobbling fabric.",22.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-27-23-0031.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-28-03-0032.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-28-21-0033.jpeg,,,,,,,,Logo,,,,,Green,,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,22,22,,,26,,,,,,,,,,,2024-03-11T08:29:04.0666052
BAF110324009 ,FILA Mens Hoodie Jumper XS Black Cotton ,Fila,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,XS,XS,xs,black,,Faded colour.,23.95,NO,,,Hoodie Jumper,,Hooded,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-29-54-0035.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-30-50-0036.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-31-08-0037.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,18,21,,,24,,,,,,,,,,,2024-03-11T08:31:39.1348255
BAF110324010 ,JULES Mens 1 Button Blazer Jacket UK 38 Medium Navy Blue Cotton ,Jules,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Coats & Jackets,57988,,,,,1,M,Medium,m,navy,,Faded colour.,34.95,NO,,1 Button,Blazer Jacket,,Pockets,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-32-57-0039.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-33-49-0040.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 17_11-03-2024/Studio 17 11-03-2024-08-34-02-0041.jpeg,,,,,,,,,,,,,Navy Blue,,,Cotton,1 Button Blazer Jacket,Button,Regular,,Woven,Collared,Long Sleeve,20,19,,,25,,,,,,,,,,,2024-03-11T08:35:31.9120476
