sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,tags,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
AUX120324005 ,ADIDAS Mens Graphic Hoodie Jumper Medium Black Cotton ,Adidas,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,M,Medium,M,,,Fading colour.,24.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-17-29-0456.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-18-27-0457.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-18-41-0458.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,,Jersey,Round Neck,Long Sleeve,21,18,,,23,,,,,,,,,,,2024-03-12T16:19:29.6442196
AUX120324006 ,RALPH LAUREN Mens Zip Neck Sweatshirt Jumper 2XL Black Cotton ,Ralph Lauren,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,2XL,2XL,2XB,,,,34.95,NO,,Zip Neck,Sweatshirt Jumper,,Stretch,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-21-40-0460.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-22-41-0461.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-23-08-0462.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Zip Neck Sweatshirt Jumper,Pullover,Regular,Elastane,Jersey,High Neck,Long Sleeve,28,20,,,30,,,,,,,,,,,2024-03-12T16:24:15.0830457
AUX120324007 ,NIKE Mens Zip Hoodie Sweater Small Navy Blue Cotton ,Nike,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,S,Small,S,,,,24.95,NO,,,Zip Hoodie Sweater,,Hooded,Full Zip,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-26-01-0464.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-27-16-0465.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-27-36-0466.jpeg,,,,,,,,Logo,,,,,Navy Blue,,,Cotton,Zip Hoodie Sweater,Zip,Regular,Polyester,Jersey,High Neck,Long Sleeve,20,19,,,23,,,,,,,,,,,2024-03-12T16:28:22.849823
AUX120324008 ,ADIDAS Mens Zip Hoodie Sweater Large Black Pinstripe Polyester ,Adidas,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,L,Large,L,,,,24.95,NO,,,Zip Hoodie Sweater,,Hooded,Full Zip,Zipped Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-29-42-0468.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-31-09-0469.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-31-22-0470.jpeg,,,,,,,,Logo,,,,,Black,,Pinstripe,Polyester,Zip Hoodie Sweater,Zip,Regular,Nylon,Microfibre,High Neck,Long Sleeve,22,20,,,27,,,,,,,,,,,2024-03-12T16:32:10.2172544
AUX120324009 ,POLO RALPH LAUREN Mens Hoodie Jumper Large Black Cotton ,Polo Ralph Lauren,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,L,Large,L,,,Fading colour.,34.95,NO,,,Hoodie Jumper,,Hooded,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-33-47-0472.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-34-27-0473.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-34-56-0474.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,23,19,,,23,,,,,,,,,,,2024-03-12T16:36:09.524619
AUX120324010 ,NIKE Mens Zip Hoodie Sweater Large Grey Cotton ,Nike,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,L,Large,L,,,,24.95,NO,,,Zip Hoodie Sweater,,Hooded,Full Zip,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-39-51-0476.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-40-39-0477.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-41-54-0478.jpeg,,,,,,,,Logo,,,,,Grey,,,Cotton,Zip Hoodie Sweater,Zip,Regular,Polyester,Jersey,High Neck,Long Sleeve,22,21,,,26,,,,,,,,,,,2024-03-12T16:42:46.1587865
AUX120324011 ,COLUMBIA Mens Rain Jacket UK 36 Small Black Polyester ,Columbia,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Coats & Jackets,57988,,,,,1,S,Small,S,,,,29.95,NO,,,Rain Jacket,,Full Zip,Windproof,Pockets,Comfort,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-44-04-0480.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-44-42-0481.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-48-12-0482.jpeg,,,,,,,,Logo,,,,,Black,,,Polyester,Rain Jacket,Zip,Regular,,Microfibre,High Neck,Long Sleeve,20,22,36,,26,,,,,,,,,,,2024-03-12T16:46:05.3549048
AUX120324012 ,DC Mens Straight Chino Trousers W32 L32  Black Cotton ,DC,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,32,Size 32,32,"T, Z",,,17.95,NO,,Straight,Chino Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-49-28-0484.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-50-00-0485.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-50-25-0486.jpeg,,,,,,,,Logo,,,,,Black,,,Cotton,Straight Chino Trousers,Zip,Regular,Polyester,Woven,,,,,,,,,,,32,11,,,,32,,2024-03-12T16:51:14.6462157
AUX120324013 ,ADIDAS Mens Sport Shorts 2XS Blue Polyester ,Adidas,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Activewear Shorts,260957,,,,,1,2XS,2XS,2XS,,,Light mark on back.,16.95,NO,,,Sport Shorts,,Adjustable Waist,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-51-57-0488.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-52-50-0489.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-53-03-0490.jpeg,,,,,,,,Logo,,,,,Blue,,,Polyester,Sport Shorts,Drawstring,Regular,,Microfibre,,,,,,,,,,,3,9,,,,24,,2024-03-12T16:53:46.0478218
AUX120324014 ,VANS Boys Swimming Shorts 11-12 Years Blue Check Polyester ,Vans,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Boys,Clothing,Swimwear,51919,,,,,1,11-12 Years,11-12 Years,26/12,,,,12.95,NO,,,Swimming Shorts,,Adjustable,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-54-37-0492.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-55-47-0493.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-55-59-0494.jpeg,,,,,,,,Logo,,,,,Blue,,Check,Polyester,Swimming Shorts,Hook & Loop,Regular,,Microfibre,,,,,,,,,,,9,9,,,,26,,2024-03-12T16:56:51.7884572
AUX120324015 ,ADIDAS Boys Sport Shorts 5-6 Years Red Polyester ,Adidas,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Boys,Clothing,Activewear Shorts,260970,,,,,1,5-6 Years,5-6 Years,N/A,,,,14.95,NO,,,Sport Shorts,,Elastic Waist,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-57-53-0496.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-58-23-0497.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 20_12-03-2024/Studio 20 12-03-2024-16-58-43-0498.jpeg,,,,,,,,Logo,,,,,Red,,,Polyester,Sport Shorts,Pull On,Regular,,Microfibre,,,,,,,,,,,5,8,,,,22,,2024-03-12T16:59:23.6518221
