sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,tags,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
BDS110324001 ,FILA Mens Roll Neck Jumper Sweater Large White Colourblock Wool ,Fila,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jumpers & Cardigans,11484,,,,,1,L,Large,L,,,Light stains inside neck roll.,29.95,NO,,,Roll Neck Jumper Sweater,,Bodywarmer,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-15-51-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-16-08-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-16-25-0003.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-16-45-0004.jpeg,,,,,,,Logo,,,,,White,,Colourblock,Wool,Roll Neck Jumper Sweater,Pullover,Regular,Acrylic,Knit,Roll Neck,Long Sleeve,22,20,,,27,,,,,,,,,,,2024-03-12T08:20:01.5140021
BDS110324002 ,TOMMY HILFIGER Mens Turtle Neck Jumper Sweater Medium Navy Blue Flecked ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jumpers & Cardigans,11484,,,,,1,M,Medium,M,Navy.,,,34.95,NO,,,Turtle Neck Jumper Sweater,,Comfort,Bodywarmer,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-20-30-0006.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-20-40-0007.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-20-49-0008.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-21-02-0009.jpeg,,,,,,,Embroidered,Logo,,,,Navy Blue,,Flecked,Wool,Turtle Neck Jumper Sweater,Pullover,Regular,Nylon,Knit,High Neck,Long Sleeve,20,22,,,24,,,,,,,,,,,2024-03-12T08:21:58.0948823
BDS110324003 ,TOMMY HILFIGER Mens Crew Neck Jumper Sweater XL Green Cotton ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jumpers & Cardigans,11484,,,,,1,XL,XL,XL,,,Small bleaches on right sleeve.,34.95,NO,,,Crew Neck Jumper Sweater,,Bodywarmer,Comfort,Collarless,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-22-27-0011.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-22-39-0012.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-22-50-0013.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-23-03-0014.jpeg,,,,,,,Logo,,,,,Green,,,Cotton,Crew Neck Jumper Sweater,Pullover,Regular,,Jersey,Crew Neck,Long Sleeve,25,19,,,27,,,,,,,,,,,2024-03-12T08:24:22.3912602
BDS110324004 ,SCHOTT Mens Shirt Medium Blue Check Cotton ,Schott,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,M,Medium,M,,,,22.95,NO,,,Shirt,,Cuffed,Collared,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-25-42-0016.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-25-55-0017.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-26-28-0018.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-26-48-0019.jpeg,,,,,,,Logo,,,,,Blue,,Check,Cotton,Shirt,Button,Regular,,Woven,Collared,Long Sleeve,20,20,,,28,,,,,,,,,,,2024-03-12T08:28:32.2798894
BDS110324005 ,RALPH LAUREN Mens Shirt Large Pink Cotton ,Ralph Lauren,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,L,Large,L,,,Light marks on chest.,29.95,NO,,,Shirt,,Cuffed,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-30-09-0021.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-30-30-0022.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-30-42-0023.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-31-04-0024.jpeg,,,,,,,Logo,,,,,Pink,,,Cotton,Shirt,Pullover,Regular,Elastane,Woven,Collared,Long Sleeve,23,20,,,31,,,,,,,,,,,2024-03-12T08:32:08.3407468
BDS110324006 ,LACOSTE Mens Short Sleeve Shirt Size 35 Medium Blue Cotton ,Lacoste,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,M,Medium,35,,,Light marks on upper front.,29.95,NO,,Short Sleeve,Shirt,,Pockets,Comfort,Collared,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-33-01-0026.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-33-17-0027.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-33-45-0028.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-34-02-0029.jpeg,,,,,,,Logo,,,,,Blue,,,Cotton,Short Sleeve Shirt,Button,Regular,,Woven,Collared,Short Sleeve,23,,,,31,,,,,,,,,,,2024-03-12T08:35:00.9900796
BDS110324007 ,VINTAGE Mens Denim Jacket UK 42 XL Blue Cotton ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Coats & Jackets,57988,,,,,1,XL,XL,XL,,,Stains inside the collar and on cuffs.,39.95,NO,,,Denim Jacket,,Cuffed,Collared,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-35-51-0031.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-36-04-0032.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-36-15-0033.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-36-34-0034.jpeg,,,,,,,Logo,,,,,Blue,,,Cotton,Denim Jacket,Button,Relaxed,,Denim,Collared,Long Sleeve,27,19,42,,26,,,,,,,,,,,2024-03-12T08:37:54.3002504
BDS110324008 ,BENETTON Mens Flannel Shirt Large Green Check Cotton ,Benetton,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,L,Large,L,,,,24.95,NO,,,Flannel Shirt,,Cuffed,Collared,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-40-02-0036.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-40-17-0037.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-40-31-0038.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-40-56-0039.jpeg,,,,,,,,,,,,Green,,Check,Cotton,Flannel Shirt,Button,Regular,,Flannel,Collared,Long Sleeve,23,21,,,31,,,,,,,,,,,2024-03-12T08:41:51.2796188
BDS110324009 ,TOMMY HILFIGER Mens Crew Neck Jumper Sweater XL Navy Blue Cotton ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jumpers & Cardigans,11484,,,,,1,XL,XL,XL,Navy.,,,34.95,NO,,,Crew Neck Jumper Sweater,,Collarless,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-42-23-0041.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-42-38-0042.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-42-48-0043.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-43-03-0044.jpeg,,,,,,,Logo,,,,,Navy Blue,,,Cotton,Crew Neck Jumper Sweater,Button,Regular,,Knit,Crew Neck,Long Sleeve,24,20,,,29,,,,,,,,,,,2024-03-12T08:43:49.0829584
BDS110324010 ,VINTAGE Mens Short Sleeve Shirt Medium Blue ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,M,Medium,NS,,,,22.95,NO,Hawaiian,Short Sleeve,Shirt,,Pockets,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-44-53-0046.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-45-15-0047.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-45-25-0048.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_12-03-2024/Studio 24 12-03-2024-08-45-43-0049.jpeg,,,,,,,,,,,,Blue,,,,Hawaiian Short Sleeve Shirt,Button,Regular,,Woven,Collared,Short Sleeve,21,,,,28,,,,,,,,,,,2024-03-12T08:46:54.7820949
