sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,tags,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
BET110324001 ,PUMA Womens Graphic T-Shirt Top UK 12 Medium White Cotton ,Puma,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,T-Shirts,53159,,,,,1,M,Medium,M,,,,14.95,NO,,,Graphic T-Shirt Top,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-04-01-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-04-18-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-04-47-0003.jpeg,,,,,,,,Logo,,,,,White,,,Cotton,Graphic T-Shirt Top,Pullover,Regular,,Jersey,Round Neck,Short Sleeve,17,,,,23,,,,,,,,,,,2024-03-12T08:06:26.1818847
BET110324002 ,TED BAKER Womens Tuxedo Shirt Size 4 Large White Cotton ,Ted Baker,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Shirts,53159,,,,,1,L,Large,4,,,Small stain on front.,19.95,NO,,,Tuxedo Shirt,,Stretch,Cuffed,Collared,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-07-59-0005.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-08-32-0006.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-09-01-0007.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-09-23-0008.jpeg,,,,,,,,,,,,White,,,Cotton,Tuxedo Shirt,Button,Regular,Elastane,Woven,Collared,Long Sleeve,18,19,,,25,,,,,,,,,,,2024-03-12T08:10:48.7499823
BET110324003 ,VINTAGE Womens Shirt IT 50 XL White Striped Cotton ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Shirts,53159,,,,,1,XL,XL,50,,,,14.95,NO,,,Shirt,,Cuffed,Pockets,Collared,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-13-11-0010.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-13-55-0011.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-14-07-0012.jpeg,,,,,,,,,,,,,White,,Striped,Cotton,Shirt,Button,Regular,,Woven,Collared,Long Sleeve,23,19,,,31,,,,,,,,,,,2024-03-12T08:15:43.7574466
BET110324004 ,VINTAGE Womens Shirt IT 46 Large White ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Shirts,53159,,,,,1,L,Large,46,,,,14.95,NO,,,Shirt,,Cuffed,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-18-18-0014.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-19-01-0015.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-19-14-0016.jpeg,,,,,,,,,,,,,White,,,,Shirt,Button,Regular,,Rayon,Collared,Long Sleeve,18,18,,,25,,,,,,,,,,,2024-03-12T08:20:25.7436594
BET110324005 ,VINTAGE Womens See Through Shirt Blouse UK 12 Medium Off White Floral ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Tops & Blouses,53159,,,,,1,M,Medium,N/A,,,,14.95,NO,,See Through,Shirt Blouse,,Cuffed,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-27-17-0018.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-27-46-0019.jpeg,,,,,,,,,Embroidered,,,,,Off White,,Floral,,See Through Shirt Blouse,Button,Regular,,Rayon,Collared,Long Sleeve,18,17,,,23,,,,,,,,,,,2024-03-12T08:30:26.4422918
BET110324006 ,TOMMY HILFIGER Womens Shirt UK 14 Medium White Cotton ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Shirts,53159,,,,,1,M,Medium,M,,,,19.95,NO,,,Shirt,,Cuffed,Pockets,Collared,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-32-35-0021.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-33-56-0022.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-34-23-0023.jpeg,,,,,,,,Logo,,,,,White,,,Cotton,Shirt,Button,Regular,,Woven,Collared,Long Sleeve,19,18,,,25,,,,,,,,,,,2024-03-12T08:36:04.5842877
BET110324007 ,NORTH SAILS Womens Straight Chino Trousers EU 40 Medium W28 L27 White ,North Sails,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Trousers,63863,,,,,1,M,Medium,40,,,Small stains on front in the right leg and on both legs hems,17.95,NO,,Straight,Chino Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-37-54-0025.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-38-08-0026.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-38-39-0027.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-38-55-0028.jpeg,,,,,,,Logo,,,,,White,,,Cotton,Straight Chino Trousers,Zip,Regular,Linen,Woven,,,,,,,,,,,27,7,,,,28,,2024-03-12T08:41:09.1247744
BET110324008 ,HENRY COTTONS Womens Straight Casual Trousers W29 L30 Off White Cotton ,Henry Cottons,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Trousers,63863,,,,,1,29,Size 29,29,,,Small stains on front in the right leg.,17.95,NO,,Straight,Casual Trousers,,Stretch,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-41-53-0030.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-42-06-0031.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-42-29-0032.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-42-56-0033.jpeg,,,,,,,Logo,,,,,Off White,,,Cotton,Straight Casual Trousers,Zip,Regular,Elastane,Woven,,,,,,,,,,,30,7,,,,29,,2024-03-12T08:44:02.6536506
BET110324009 ,MASSIMO DUTTI Womens Shirt US 4 Small White Cotton ,Massimo Dutti,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Shirts,53159,,,,,1,S,Small,4,,,Stains on armpits.,16.95,NO,,,Shirt,,Cuffed,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-47-08-0035.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-47-39-0036.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-47-50-0037.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-48-15-0038.jpeg,,,,,,,,,,,,White,,,Cotton,Shirt,Button,Regular,,Woven,Collared,Long Sleeve,15,17,,,23,,,,,,,,,,,2024-03-12T08:49:11.2427751
BET110324010 ,VINTAGE Womens Jumper Dress EU 40 Medium White Floral Polyacrylic ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Dresses,63861,,,,,1,M,Medium,40,,,Bobbling material.,24.95,NO,,,Jumper Dress,,Bodywarmer,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-50-56-0040.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-51-27-0041.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 8_12-03-2024/Studio 8 12-03-2024-08-51-40-0042.jpeg,,,,,,,,,,,,,White,,Floral,Polyacrylic,Jumper Dress,Pullover,Relaxed,Cotton,Knit,Round Neck,Long Sleeve,22,20,,,32,,,,,,,,,,,2024-03-12T08:52:55.2048553
