sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
BJW250324086 ,GAP Mens Graphic Sweatshirt Jumper Small Black Cotton ,Gap,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,S,Small,s,,,29.95,NO,,Graphic,Sweatshirt Jumper,,Collarless,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-18-05-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-18-05-0001_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-18-05-0001_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-19-11-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-19-11-0002_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-19-11-0002_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-19-25-0003.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-19-38-0004.jpeg,,,Logo,,,,,Black,,,Cotton,Graphic Sweatshirt Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,20,18,,,24,,,,,,,,,,,2024-03-26T08:21:19.8911897
BJW250324087 ,REEBOK Mens Graphic Hoodie Jumper XL Maroon Cotton ,Reebok,Fair Used Condition: the item has been frequently worn and may have numerous flaws,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,XL,XL,xl ,,Faded color and bobbling material all over.,25.95,NO,,Graphic,Hoodie Jumper,,Hooded,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-22-21-0006.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-22-21-0006_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-22-21-0006_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-22-49-0007.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-22-49-0007_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-22-49-0007_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-23-06-0008.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-23-27-0009.jpeg,,,Logo,,,,,Maroon,,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,26,19,,,26,,,,,,,,,,,2024-03-26T08:29:33.8884729
BJW250324088 ,RUSSELL ATHLETIC Mens Grizzlies Graphic Hoodie Jumper XL Maroon Cotton ,Russell Athletic,Fair Used Condition: the item has been frequently worn and may have numerous flaws,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,XL,XL,xl,,Oil stain and mark on the back.,24.95,NO,,Graphic,Hoodie Jumper,,Hooded,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-30-02-0011.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-30-02-0011_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-30-02-0011_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-30-25-0012.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-30-25-0012_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-30-25-0012_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-30-55-0013.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-31-13-0014.jpeg,,,Logo,,,,,Maroon,Grizzlies,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,27,22,,,30,,,,,,,,,,,2024-03-26T08:32:56.3049701
BJW250324089 ,CHAMPION Mens Hoodie Jumper Small Grey Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,S,Small,s,,,29.95,NO,,,Hoodie Jumper,,Hooded,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-35-45-0016.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-35-45-0016_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-35-45-0016_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-36-52-0017.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-36-52-0017_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-36-52-0017_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-37-09-0018.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-37-23-0019.jpeg,,,Logo,,,,,Grey,,,Cotton,Hoodie Jumper,Pullover,Regular,Polyester,Jacquard,Round Neck,Long Sleeve,20,22,,,27,,,,,,,,,,,2024-03-26T08:41:31.684287
BJW250324090 ,CHAMPION Mens Minnesota Graphic Hoodie Jumper 2XL Maroon Cotton ,Champion,Fair Used Condition: the item has been frequently worn and may have numerous flaws,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,2XL,2XL,2xl ,,Marks on multiple places.,24.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-44-27-0021.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-44-27-0021_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-44-27-0021_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-44-39-0022.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-44-39-0022_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-44-39-0022_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-44-49-0023.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-45-06-0024.jpeg,,,Logo,,,,,Maroon,Minnesota,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,26,19,,,29,,,,,,,,,,,2024-03-26T08:50:46.9125557
BJW250324091 ,RUSSELL ATHLETIC Mens Graphic Hoodie Jumper Medium Navy Blue Cotton ,Russell Athletic,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,M,Medium,m,navy,Missing hood string.,29.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-51-36-0026.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-51-36-0026_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-51-36-0026_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-51-51-0027.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-51-51-0027_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-51-51-0027_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-52-05-0028.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-52-23-0029.jpeg,,,Logo,,,,,Navy Blue,,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyamide,Jersey,Round Neck,Long Sleeve,22,19,,,21,,,,,,,,,,,2024-03-26T08:53:29.5031581
BJW250324092 ,COOPERS TOWN Mens Yankees Graphic Zip Hoodie Sweater Small Grey ,Coopers Town,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,S,Small,s,,,29.95,NO,,Graphic,Zip Hoodie Sweater,,Hooded,Full Zip,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-54-06-0031.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-54-06-0031_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-54-06-0031_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-54-18-0032.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-54-18-0032_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-54-18-0032_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-55-22-0033.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-55-36-0034.jpeg,,,Logo,,,,,Grey,Yankees,Colourblock,Cotton,Graphic Zip Hoodie Sweater,Zip,Regular,Polyester,Jersey,High Neck,Long Sleeve,20,18,,,23,,,,,,,,,,,2024-03-26T08:57:12.6954101
BJW250324093 ,RUSSELL ATHLETIC Mens Graphic Hoodie Jumper Large Grey Polyester ,Russell Athletic,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,L,Large,L,,Marks on the front.,26.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-57-55-0036.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-57-55-0036_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-57-55-0036_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-58-09-0037.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-58-09-0037_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-58-09-0037_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-58-45-0038.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-08-59-09-0039.jpeg,,,Logo,,,,,Grey,,,Polyester,Graphic Hoodie Jumper,Pullover,Regular,Cotton,Microfibre,Round Neck,Long Sleeve,24,22,,,26,,,,,,,,,,,2024-03-26T09:00:40.7816173
BJW250324094 ,CHAMPION Mens Graphic Hoodie Jumper Small Green Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,S,Small,s,,,29.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-01-17-0041.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-01-17-0041_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-01-17-0041_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-01-36-0042.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-01-36-0042_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-01-36-0042_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-01-51-0043.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-02-05-0044.jpeg,,,Logo,,,,,Green,,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,18,21,,,24,,,,,,,,,,,2024-03-26T09:03:02.2407601
BJW250324095 ,CHAMPION Mens Hoodie Jumper Large Blue Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,L,Large,L,,Faded color all over.,29.95,NO,,,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-04-25-0046.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-04-25-0046_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-04-25-0046_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-04-44-0047.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-04-44-0047_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-04-44-0047_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-05-08-0048.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 16_26-03-2024/Studio 16 26-03-2024-09-05-27-0049.jpeg,,,Logo,,,,,Blue,,,Cotton,Hoodie Jumper,Pullover,Relaxed,Polyester,Jersey,Round Neck,Long Sleeve,26,21,,,26,,,,,,,,,,,2024-03-26T09:06:14.115525
