sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,tags,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
BDJ110324004 ,VINTAGE Womens Pleated A-Line Skirt UK 12 Medium W28 Multicoloured Floral ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Skirts,63864,,,,,1,12,Size 12,12,,,,16.95,NO,,Pleated,A-Line Skirt,,Elastic Waist,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-12-27-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-12-42-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-13-41-0003.jpeg,,,,,,,,,,,,,Multicoloured,,Floral,Viscose,Pleated A-Line Skirt,Pull On,Regular,,Rayon,,,,,,,,,,,29,,,,,28,,2024-03-12T08:14:44.9785043
BDJ110324005 ,VINTAGE Womens Roll Neck Jumper Sweater UK 18 XL Purple Angora ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Jumpers & Cardigans,63866,,,,,1,XL,XL,N/A,Shoulder pads.,,Bobbling material.,22.95,NO,,,Roll Neck Jumper Sweater,,Shoulder Pads,Bodywarmer,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-15-35-0005.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-16-02-0006.jpeg,,,,,,,,,,,,,,Purple,,,Angora,Roll Neck Jumper Sweater,Pullover,Regular,Acrylic,Jersey,Roll Neck,Long Sleeve,21,19,,,25,,,,,,,,,,,2024-03-12T08:17:46.9124704
AYE120324001 ,"L'EQUIPE Womens Leather Jacket IT 46 Large Navy Blue Animal Print ","L'Equipe",Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Coats & Jackets,63862,,,,,1,L,Large,46,,,,44.95,NO,,,Leather Jacket,,Lined,Full Zip,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-19-36-0008.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-20-52-0009.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-23-30-0010.jpeg,,,,,,,,,,,,,Navy Blue,,Animal Print,,Leather Jacket,Zip,Regular,,Leather,Collared,Long Sleeve,19,17,,,23,,,,,,,,,,,2024-03-12T08:24:26.8873036
AYE120324002 ,VINTAGE Womens Sleeveless A-Line Dress UK 16 Large Red ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Dresses,63861,,,,,1,L,Large,N/A,,,Bobbling material.,22.73,NO,Graphic,Sleeveless,A-Line Dress,,Straps,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-25-54-0012.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-26-47-0013.jpeg,,,,,,,,,,,,,,Red,,,,Graphic Sleeveless A-Line Dress,Pullover,Regular,,Jersey,Square Neck,Sleeveless,20,,,,35,,,,,,,,,,,2024-03-12T08:27:52.8547615
AYE120324003 ,VINTAGE Womens Sleeveless Cardigan Sweater IT 40 Small Red ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Jumpers & Cardigans,63866,,,,,1,S,Small,40,,,,22.95,NO,,Sleeveless,Cardigan Sweater,,Straps,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-28-37-0015.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-28-59-0016.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-29-14-0017.jpeg,,,,,,,,,,,,,Red,,,,Sleeveless Cardigan Sweater,Tie,Regular,,Knit,V-Neck,Sleeveless,18,,,,22,,,,,,,,,,,2024-03-12T08:29:50.5251749
AYE120324004 ,VINTAGE Womens Short Sleeve Boat Neck Jumper Sweater UK 18 XL Brown ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Jumpers & Cardigans,63866,,,,,1,XL,XL,N/A,Brown.,,,22.95,NO,,Short Sleeve,Boat Neck Jumper Sweater,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-33-02-0019.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-33-22-0020.jpeg,,,,,,,,,,,,,,Brown,,Colourblock,,Short Sleeve Boat Neck Jumper Sweater,Pullover,Regular,,Knit,V-Neck,Short Sleeve,21,,,,22,,,,,,,,,,,2024-03-12T08:34:19.6113479
AYE120324005 ,VINTAGE Womens Shearling Gilet UK 10 Small Brown ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Coats & Jackets,63862,,,,,1,S,Small,S,,,,29.95,NO,,Shearling,Gilet,,Straps,Pockets,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-35-08-0022.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-35-26-0023.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-35-46-0024.jpeg,,,,,,,,,,,,,Brown,,,,Shearling Gilet,Tie,Regular,,Shearling,V-Neck,Sleeveless,18,,,,25,,,,,,,,,,,2024-03-12T08:36:28.7634194
AYE120324006 ,DIESEL Womens Getlegg Low Waist Slim Skinny Jeans W28 L32 Navy Blue Cotton ,Diesel,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Jeans,11554,,,,,1,28,Size 28,W28 L32,JZ.,,,22.95,NO,Low Waist,Slim,Skinny Jeans,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-36-55-0026.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-37-25-0027.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-38-05-0028.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-38-17-0029.jpeg,,,,,,,Logo,,,,,Navy Blue,Getlegg,,Cotton,Low Waist Slim Skinny Jeans,Zip,Extra-Slim,Polyester,Denim,,,,,,,,,,,32,6,,,,28,,2024-03-12T08:39:07.9967487
AYE120324007 ,GUESS Mens Slim Jeans W27 L32 Blue Cotton ,Guess,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jeans,11483,,,,,1,27,Size 27,27,JZ.,,,22.95,NO,,,Slim Jeans,,Stretch,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-39-49-0031.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-40-21-0032.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-40-39-0033.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-40-53-0034.jpeg,,,,,,,Logo,,,,,Blue,,,Cotton,Slim Jeans,Zip,Slim,Elastane,Denim,,,,,,,,,,,32,5,,,,27,,2024-03-12T08:41:34.9612014
AYE120324008 ,MAX & CO. Mens Wide Leg Jeans W30 L30 Blue ,Max & Co.,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jeans,11483,,,,,1,30,Size 30,N/A,JZ.,,,17.95,NO,,,Wide Leg Jeans,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-42-40-0036.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-43-07-0037.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 11_12-03-2024/Studio 11 12-03-2024-08-43-22-0038.jpeg,,,,,,,,,,,,,Blue,,,,Wide Leg Jeans,Zip,Relaxed,,Denim,,,,,,,,,,,30,7,,,,30,,2024-03-12T08:44:06.2111678
