sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
BDP250324001 ,NFL Mens Football Graphic Hoodie Jumper XL Grey Cotton ,NFL,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,XL,XL,XL,Grey.,Light bobbling material all over.,29.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-20-05-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-20-05-0001_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-20-05-0001_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-20-24-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-20-24-0002_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-20-24-0002_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-20-40-0003.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-21-07-0004.jpeg,,,Logo,,,,,Grey,Football,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,27,21,,,26,,,,,,,,,,,2024-03-26T08:22:57.6345026
BDP250324002 ,CHAMPION Mens Graphic Hoodie Jumper Large Brown Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,L,Large,L,,"Fading out colour, bobbling material all over and marks on multiple places on item.",29.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-23-50-0006.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-23-50-0006_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-23-50-0006_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-24-12-0007.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-24-12-0007_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-24-12-0007_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-24-25-0008.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-24-55-0009.jpeg,,,Logo,,,,,Brown,,,Cotton,Graphic Hoodie Jumper,Pullover,Regular,,Jersey,Round Neck,Long Sleeve,24,19,,,24,,,,,,,,,,,2024-03-26T08:26:17.9122182
BDP250324003 ,CHAMPION Mens Minnesota Graphic Hoodie Jumper 2XL Grey Colourblock Cotton ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,2XL,2XL,2 XL,,Stains on front hem.,29.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-27-07-0011.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-27-07-0011_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-27-07-0011_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-27-28-0012.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-27-28-0012_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-27-28-0012_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-27-45-0013.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-28-14-0014.jpeg,,,Logo,,,,,Grey,Minnesota,Colourblock,Cotton,Graphic Hoodie Jumper,Pullover,Regular,Polyester,Jersey,Round Neck,Long Sleeve,27,22,,,28,,,,,,,,,,,2024-03-26T08:29:47.8707168
BDP250324004 ,CHAMPION Mens Graphic Hoodie Jumper Large Black ,Champion,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,L,Large,L,Navy.,Bobbling material all over.,29.95,NO,,Graphic,Hoodie Jumper,,Pockets,Hooded,Comfort,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-31-31-0016.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-31-31-0016_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-31-31-0016_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-31-59-0017.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-31-59-0017_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-31-59-0017_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-32-15-0018.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-32-39-0019.jpeg,,,Logo,,,,,Black,,,,Graphic Hoodie Jumper,Pullover,Regular,,Jersey,Round Neck,Long Sleeve,24,21,,,27,,,,,,,,,,,2024-03-26T08:33:49.7945434
BDP250324005 ,NFL Mens Redskins Graphic Hoodie Jumper Small Red Polyester ,NFL,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Hoodies & Sweats,155183,,,,,1,S,Small,S,,Light bobbling material all over.,32.95,NO,,Graphic,Hoodie Jumper,,Hooded,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-34-35-0021.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-34-35-0021_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-34-35-0021_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-34-57-0022.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-34-57-0022_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-34-57-0022_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-35-12-0023.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-35-32-0024.jpeg,,,Logo,,,,,Red,Redskins,,Polyester,Graphic Hoodie Jumper,Pullover,Regular,Cotton,Microfibre,Round Neck,Long Sleeve,20,20,,,25,,,,,,,,,,,2024-03-26T08:37:07.6407311
BDP250324006 ,CAPT. COOK Mens Hooded Rain Jacket UK 38 Medium Multicoloured Colourblock ,Capt. Cook,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Coats & Jackets,57988,,,,,1,M,Medium,NS,Have hood.,Loose seam on front hem.,39.95,NO,,Hooded,Rain Jacket,,Hooded,Windproof,Water Resistant,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-38-32-0026.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-38-32-0026_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-38-32-0026_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-38-47-0027.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-38-47-0027_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-38-47-0027_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-39-43-0028.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-40-13-0029.jpeg,,,Logo,,,,,Multicoloured,,Colourblock,Polyamide,Hooded Rain Jacket,Zip,Regular,,Microfibre,High Neck,Long Sleeve,24,19,38,,28,,,,,,,,,,,2024-03-26T08:41:22.5858596
BDP250324007 ,VINTAGE Mens Abstract Pattern Shirt XL Multicoloured ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,XL,XL,NS,,,22.95,NO,,Abstract Pattern,Shirt,,Comfort,Collared,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-42-52-0031.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-42-52-0031_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-42-52-0031_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-43-15-0032.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-43-15-0032_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-43-15-0032_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-43-29-0033.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-43-46-0034.jpeg,,,,,,,,Multicoloured,,,,Abstract Pattern Shirt,Button,Regular,,Woven,Collared,Long Sleeve,27,21,,,32,,,,,,,,,,,2024-03-26T08:44:38.5783599
BDP250324008 ,VINTAGE Mens Denim Shirt Large Blue Cotton ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,L,Large,L,Snaps.,,22.95,NO,,,Denim Shirt,,Cuffed,Collared,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-45-50-0036.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-45-50-0036_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-45-50-0036_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-46-17-0037.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-46-17-0037_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-46-17-0037_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-46-34-0038.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-46-52-0039.jpeg,,,Logo,,,,,Blue,,,Cotton,Denim Shirt,Snap,Regular,,Denim,Collared,Long Sleeve,25,22,,,32,,,,,,,,,,,2024-03-26T08:47:53.5649345
BDP250324009 ,CAMEL Mens Shirt Large Beige ,Camel,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,L,Large,L,Snaps.,,24.95,NO,,,Shirt,,Cuffed,Collared,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-49-12-0041.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-49-12-0041_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-49-12-0041_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-49-38-0042.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-49-38-0042_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-49-38-0042_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-50-00-0043.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-50-18-0044.jpeg,,,Logo,,,,,Beige,,,,Shirt,Snap,Regular,,Woven,Collared,Long Sleeve,23,21,,,32,,,,,,,,,,,2024-03-26T08:51:29.7984771
BDP250324010 ,VINTAGE Mens Abstract Pattern Shirt Size 43/44 Large Multicoloured Viscose ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shirts,57990,,,,,1,L,Large,43/44,,,22.95,NO,,Abstract Pattern,Shirt,,Cuffed,Collared,Pockets,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-52-46-0046.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-52-46-0046_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-52-46-0046_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-53-07-0047.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-53-07-0047_Part_1.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-53-07-0047_Part_2.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-53-25-0048.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 24_26-03-2024/Studio 24 26-03-2024-08-53-47-0049.jpeg,,,,,,,,Multicoloured,,,Viscose,Abstract Pattern Shirt,Button,Relaxed,,Rayon,Collared,Long Sleeve,26,20,,,30,,,,,,,,,,,2024-03-26T08:54:46.6275912
