sku,title,brand,condition,gender,category,ebay Category,ebay Category Code,consignmentId,upc,rrp,buyItNowPrice,quantity,size,title Size,description Label,notes,tags,additional Condition Remark,price,label size different from the mesaurment and fit,featureType,fabric Fit Type,item Type,style,feature1,feature2,feature3,feature4,feature5,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,accent1,accent2,accent3,accent4,accent5,colour,model,pattern,material,type,closure,fit,other Material,fabric Type,neckline,sleeve Length,armpit to armpit (inches),armpit to cuff (inches),chest Size ,circumference (inches),collar to hem (inches),eu Shoe Size,heel Height (inches),height (inches),length (inches),rise (inches),sole Length,uk Shoe Size,us Shoe Size,waist (inches),width (inches),createdAt
BEU110324031 ,MARLBORO CLASSICS Mens Straight Jeans W34 L34 White Cotton ,Marlboro Classics,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Jeans,11483,,,,,1,34,Size 34,34/34,,,Small stain on back of left leg.,17.95,NO,,,Straight Jeans,,Stretch,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-01-43-0001.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-02-02-0002.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-02-12-0003.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-02-38-0004.jpeg,,,,,,,Logo,,,,,White,,,Cotton,Straight Jeans,Zip,Regular,Elastane,Denim,,,,,,,,,,,34,9,,,,34,,2024-03-12T08:03:15.4669813
BEU110324032 ,TOMMY HILFIGER Mens Straight Casual Trousers W36 L28 White ,Tommy Hilfiger,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,36,Size 36,36/32,,,Light marks and reworked length.,19.95,YES,,Straight,Casual Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-04-43-0006.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-05-06-0007.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-05-18-0008.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-06-03-0009.jpeg,,,,,,,Logo,,,,,White,,,,Straight Casual Trousers,Zip,Regular,,Woven,,,,,,,,,,,28,9,,,,36,,2024-03-12T08:06:42.4369307
BEU110324033 ,VINTAGE Womens Knit See Through Blouse Top UK 16 Large White Striped ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Tops & Blouses,53159,,,,,1,L,Large,N/A,,,Small stain on front.,16.95,NO,Knit,See Through,Blouse Top,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-07-33-0011.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-07-43-0012.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-07-54-0013.jpeg,,,,,,,,Glitter,Eyelet,,,,White,,Striped,,Knit See Through Blouse Top,Pullover,Regular,,Knit,Mock Neck,Short Sleeve,20,,,,21,,,,,,,,,,,2024-03-12T08:08:51.2650422
BEU110324034 ,VINTAGE Womens V-Neck Jumper Sweater UK 12 Medium White Floral ,Vintage,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Jumpers & Cardigans,63866,,,,,1,M,Medium,N/A,,,,22.95,NO,,,V-Neck Jumper Sweater,,Bodywarmer,Comfort,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-10-16-0015.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-10-54-0016.jpeg,,,,,,,,,,,,,,White,,Floral,,V-Neck Jumper Sweater,Pullover,Regular,,Knit,V-Neck,Long Sleeve,17,16,,,28,,,,,,,,,,,2024-03-12T08:11:35.3461012
BEU110324035 ,NORTH SAILS Mens Chino Shorts IT 44 XS W285 White Cotton ,North Sails,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Shorts,15689,,,,,1,XS,XS,44,,,Small stains on front of left leg. ,16.95,NO,,,Chino Shorts,,Stretch,Pockets,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-12-56-0018.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-13-07-0019.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-13-20-0020.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-14-31-0021.jpeg,,,,,,,Logo,,,,,White,,,Cotton,Chino Shorts,Zip,Regular,Elastane,Woven,,,,,,,,,,,7,9,,,,28,,2024-03-12T08:16:03.9067182
BEU110324036 ,"LEVI'S Mens T-Shirt Top Medium White Cotton ","Levi's",Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,M,Medium,M,,,Small holes on front.,15.95,NO,,,T-Shirt Top,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-17-39-0023.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-18-11-0024.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-18-29-0025.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-19-00-0026.jpeg,,,,,,,Logo,,,,,White,,,Cotton,T-Shirt Top,Pullover,Regular,,Jersey,Round Neck,Short Sleeve,18,,,,24,,,,,,,,,,,2024-03-12T08:19:31.1145753
BEU110324037 ,"LEVI'S Mens Graphic Vest Top Medium White Cotton ","Levi's",Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,T-Shirts,15687,,,,,1,M,Medium,M,,,Small stain on front. ,17.95,NO,,,Graphic Vest Top,,Comfort,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-21-23-0028.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-21-39-0029.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-21-49-0030.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-22-10-0031.jpeg,,,,,,,Logo,,,,,White,,,Cotton,Graphic Vest Top,Pullover,Slim,,Jersey,Round Neck,Sleeveless,18,,,,23,,,,,,,,,,,2024-03-12T08:22:33.5750268
BEU110324038 ,MASSIMO DUTTI Mens Straight Casual Trousers W34 L28 Off White ,Massimo Dutti,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,34,Size 34,N/A,,,,19.95,NO,,Straight,Casual Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-23-50-0033.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-24-21-0034.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-24-31-0035.jpeg,,,,,,,,Logo,,,,,Off White,,,,Straight Casual Trousers,Zip,Regular,,Woven,,,,,,,,,,,28,8,,,,34,,2024-03-12T08:25:39.2379839
BEU110324039 ,J. CREW Mens Straight Chino Trousers W31 L27 Grey Cotton ,J. Crew,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Mens,Clothing,Trousers,57989,,,,,1,31,Size 31,31/32,,,"Reworked length. , Small stain on front of left leg. ",17.95,YES,,Straight,Chino Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-26-55-0037.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-27-10-0038.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-27-22-0039.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-27-45-0040.jpeg,,,,,,,,,,,,Grey,,,Cotton,Straight Chino Trousers,Zip,Regular,,Woven,,,,,,,,,,,27,9,,,,31,,2024-03-12T08:28:26.7822275
BEU110324040 ,MASSIMO DUTTI Womens Skinny Casual Trousers W26 L32 White Cotton ,Massimo Dutti,Good Used Condition:  the has been worn but is well maintained and may show minor signs of wear,Womens,Clothing,Trousers,63863,,,,,1,26,Size 26,"W26 L32 , 36/26",,,Small stain on back of left leg.,19.95,NO,,Skinny,Casual Trousers,,Pockets,,,,,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-29-48-0042.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-30-08-0043.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-30-17-0044.jpeg,https://d277j9zyfmlsgc.cloudfront.net/EditedFiles/Studio 7_12-03-2024/Studio 7 12-03-2024-08-30-47-0045.jpeg,,,,,,,Logo,,,,,White,,,Cotton,Skinny Casual Trousers,Zip,Extra-Slim,Elastane,Woven,,,,,,,,,,,32,7,,,,26,,2024-03-12T08:32:40.5613247
