brandName
Elastomere
Polyacrylic
Cotton
Cupro
Acrylic
Lycra
Elastane
Lyocell
Micropolifil
Polypeptide
Synthetic 
Tencel
Faux Leather
Polyamide
Spandex
Alpaca Wool
Wool
Rayon
Tweed
Camelhair
Linen
Rabbit Fur
Virgin Wool
Modal
Mohair
Hemp
Sheepskin
Lurex
Shearling
Angora
Velvet
Polyester
Silk
Acetate
New Wool
Flax
Modacryl
Lambswool
Suede
Merino Wool
Polyurethane
Ramie
Viscose
Polyvinyl
Lamb Hair
Leather
Cashmere
Triacetate
Nylon
PVC
Terital
